,NOMBRE,CONTROL,TIPO_MONITOREO,COSTO_MATRICULA,ESTADO,INGRESOS_FAMILIARES_M1,INGRESOS_FAMILIARES_H2,Labels_3Clusters
372,MyComputerCareer.com-Raleigh,3,0,16036.0,32,0.246935201,0.047285464,2
373,Contra Costa College,1,0,1298.0,5,0.15777064504154126,0.09437983713587411,2
374,Tennessee College of Applied Technology-Crossville,1,0,3477.0,49,0.106382979,0.0,2
377,Chatfield College,2,0,9070.0,40,0.066666667,0.0,2
379,Coahoma Community College,1,0,2240.0,30,0.098728044,0.0,2
384,Dallas County Technical Center,1,0,6500.0,28,0.15777064504154126,0.09437983713587411,2
395,Lac Courte Oreilles Ojibwa Community College,1,0,4590.0,56,0.15777064504154126,0.09437983713587411,2
399,King's University,2,0,11475.0,5,0.177777778,0.088888889,2
404,San Antonio College,1,0,2038.0,50,0.15777064504154126,0.09437983713587411,2
406,Texas A & M International University,1,0,5818.0,50,0.17862166,0.025316456,2
407,Austin Peay State University,1,0,6876.0,49,0.15777064504154126,0.09437983713587411,2
408,Mount Wachusett Community College,1,0,4900.0,22,0.15777064504154126,0.09437983713587411,2
410,New River Community and Technical College,1,0,3460.0,57,0.15777064504154126,0.09437983713587411,2
418,Virginia Baptist College,2,0,4320.0,52,0.14186649974413781,0.0,2
421,South Mountain Community College,1,0,1974.0,4,0.15777064504154126,0.09437983713587411,2
423,Brookhaven College,1,0,1560.0,50,0.15777064504154126,0.09437983713587411,2
424,Healing Mountain Massage School,3,0,10000.0,51,0.197183099,0.04793951204880309,2
427,Cypress College,1,0,1136.0,5,0.176958324,0.002181977,2
428,Bainbridge State College,1,0,2965.0,12,0.09484193,0.006655574,2
431,Coachella Valley Beauty College,3,0,10675.0,5,0.197368421,0.04793951204880309,2
434,Galveston College,1,0,1900.0,50,0.15777064504154126,0.09437983713587411,2
436,Harris-Stowe State University,1,0,5220.0,28,0.109657948,0.011066398,2
437,Central Carolina Technical College,1,0,3814.0,47,0.15777064504154126,0.09437983713587411,2
439,West Texas A & M University,1,0,6500.0,50,0.178653625,0.105293441,2
442,Georgia Gwinnett College,1,0,5246.0,12,0.15777064504154126,0.09437983713587411,2
449,Mountainland Applied Technology College,1,0,496.0,51,0.15777064504154126,0.09437983713587411,2
457,Aaniiih Nakoda College,1,0,2410.0,31,0.15777064504154126,0.0,2
462,University of Colorado Denver,1,0,7933.0,6,0.153063584,0.114219653,2
469,Saint Cloud State University,1,0,7514.0,27,0.146374564,0.144241954,2
473,Reading Area Community College,1,0,4650.0,43,0.15777064504154126,0.09437983713587411,2
479,California State University-Sacramento,1,0,6628.0,5,0.15777064504154126,0.09437983713587411,2
480,Itawamba Community College,1,0,2220.0,30,0.15777064504154126,0.09437983713587411,2
483,Brunswick Community College,1,0,2388.0,32,0.180263158,0.0,2
484,Oklahoma State University-Oklahoma City,1,0,2661.0,41,0.15777064504154126,0.09437983713587411,2
489,City Colleges of Chicago-Harold Washington College,1,0,3070.0,17,0.15777064504154126,0.09437983713587411,2
491,Fullerton College,1,0,1138.0,5,0.15777064504154126,0.09437983713587411,2
492,Tennessee College of Applied Technology-Shelbyville,1,0,5295.0,49,0.15777064504154126,0.09437983713587411,2
494,Atlanta Metropolitan State College,1,0,3006.0,12,0.15777064504154126,0.09437983713587411,2
497,Northern Maine Community College,1,0,3308.0,24,0.151219512,0.019512195,2
505,Miles Community College,1,0,3810.0,31,0.138576779,0.08988764,2
515,Terra State Community College,1,0,4344.0,40,0.149812734,0.018102372,2
517,Marshalltown Community College,1,0,4176.0,15,0.181818182,0.024312896,2
526,M State - Wadena Campus,1,0,5273.0,27,0.155405405,0.061330561,2
527,Delaware State University,1,0,7336.0,9,0.179104478,0.113257243,2
530,California State University-Chico,1,0,6972.0,5,0.15777064504154126,0.09437983713587411,2
538,Seattle Central College,1,0,3893.0,55,0.117826825,0.003395586,2
539,Pacific College,3,0,26900.0,5,0.251724138,0.04137931,2
542,Langston University,1,0,3815.0,41,0.149022252,0.018206339,2
543,Baldwin Park Adult & Community Education,1,0,2280.0,5,0.144396552,0.0,2
545,American Institute of Alternative Medicine,3,0,13895.0,40,0.216524217,0.04793951204880309,2
549,University of Guam,1,0,5098.0,13,0.187070151,0.041953233,2
550,Ivy Tech Community College-Richmond,1,0,3605.0,18,0.138444414,0.018811743,2
560,The University of West Florida,1,0,6357.0,10,0.15777064504154126,0.09437983713587411,2
562,University of Oklahoma-Norman Campus,1,0,8916.0,41,0.172525849,0.160413589,2
564,Southwest Texas Junior College,1,0,1996.0,50,0.163176895,0.006137184,2
570,Northwest Mississippi Community College,1,0,2250.0,30,0.15777064504154126,0.09437983713587411,2
572,CUNY Borough of Manhattan Community College,1,0,4518.0,39,0.15777064504154126,0.09437983713587411,2
575,University of Southern Maine,1,0,8920.0,24,0.147787888,0.112645121,2
577,Missouri Southern State University,1,0,5376.0,28,0.184124683,0.04385647,2
578,University of Wisconsin-Green Bay,1,0,7676.0,56,0.158485274,0.11430575,2
579,East Central College,1,0,2136.0,28,0.183265121,0.011368804,2
583,Central Alabama Community College,1,0,4200.0,1,0.154114365,0.012552301,2
585,Sinclair Community College,1,0,2304.0,40,0.15777064504154126,0.09437983713587411,2
590,California State University-Bakersfield,1,0,6775.0,5,0.15777064504154126,0.09437983713587411,2
592,Stella and Charles Guttman Community College,1,0,4542.0,39,0.147582697,0.09437983713587411,2
599,Wenatchee Valley College,1,0,3718.0,55,0.15777064504154126,0.09437983713587411,2
606,Richland College,1,0,1560.0,50,0.15777064504154126,0.09437983713587411,2
609,Central Ohio Technical College,1,0,4296.0,40,0.15777064504154126,0.09437983713587411,2
611,Weber State University,1,0,4990.0,51,0.195366577,0.051702218,2
613,Pearl River Community College-Forrest County Center,1,0,2550.0,30,0.15777064504154126,0.09437983713587411,2
614,Texas A & M University-Corpus Christi,1,0,7172.0,50,0.15777064504154126,0.09437983713587411,2
626,El Paso Community College,1,0,2094.0,50,0.15777064504154126,0.09437983713587411,2
629,Valencia College,1,0,2378.0,10,0.15777064504154126,0.09437983713587411,2
634,Washtenaw Community College,1,0,2352.0,26,0.15777064504154126,0.09437983713587411,2
635,Albany Technical College,1,0,2534.0,12,0.091334165,0.005299252,2
636,Pueblo Community College,1,0,3488.0,6,0.138190955,0.017085427,2
648,Northshore Technical Community College,1,0,3266.0,21,0.113924051,0.0,2
652,Southwestern College,1,0,1334.0,5,0.15777064504154126,0.09437983713587411,2
655,Burlington County College,1,0,3765.0,36,0.15777064504154126,0.09437983713587411,2
661,Mid-State Technical College,1,0,3997.0,56,0.147551546,0.027061856,2
662,Jefferson Community and Technical College,1,0,3536.0,20,0.15777064504154126,0.09437983713587411,2
663,Polaris Career Center,1,0,7495.0,40,0.158854167,0.09437983713587411,2
669,San Jacinto Community College,1,0,1312.0,50,0.15777064504154126,0.09437983713587411,2
670,Montgomery County Community College,1,0,4590.0,43,0.15777064504154126,0.09437983713587411,2
672,Kapiolani Community College,1,0,2604.0,14,0.171629446,0.023986766,2
674,Los Angeles Harbor College,1,0,1221.0,5,0.15777064504154126,0.09437983713587411,2
680,Martin Luther College,2,0,12300.0,27,0.277591973,0.080267559,2
681,Tennessee College of Applied Technology-Jackson,1,0,3477.0,49,0.15777064504154126,0.09437983713587411,2
682,Word of Life Bible Institute,2,0,8330.0,39,0.227016886,0.060037524,2
683,National Labor College,2,0,9528.0,23,0.217687075,0.102040816,2
684,New Mexico State University-Alamogordo,1,0,1920.0,37,0.168851718,0.030628391,2
687,Copiah-Lincoln Community College,1,0,2350.0,30,0.124824684,0.010752688,2
693,Moody Bible Institute,2,0,11356.0,17,0.261988304,0.0,2
695,Walton Career Development Center,1,0,4496.0,10,0.149171271,0.0,2
712,M State - Detroit Lakes Campus,1,0,5303.0,27,0.155405405,0.061330561,2
713,Georgia Military College-Columbus Campus,1,0,6276.0,12,0.15777064504154126,0.09437983713587411,2
714,The University of Montana-Western,1,0,4141.0,31,0.180440771,0.060606061,2
719,University of Louisiana at Lafayette,1,0,6192.0,21,0.180389553,0.101814962,2
722,Bemidji State University,1,0,8124.0,27,0.152380952,0.144513458,2
723,Wilmington University,2,0,9950.0,9,0.170991659,0.070203893,2
724,University of Puerto Rico-Aguadilla,1,0,2019.0,44,0.15777064504154126,0.09437983713587411,2
725,Fred W Eberle Technical Center,1,0,2800.0,57,0.15777064504154126,0.0,2
730,Southeastern Community College,1,0,4350.0,15,0.15777064504154126,0.09437983713587411,2
733,Buffalo State SUNY,1,0,7022.0,39,0.165707237,0.102384868,2
734,Lanier Technical College,1,0,3022.0,12,0.158633599,0.0,2
737,Mid Michigan Community College,1,0,2732.0,26,0.15777064504154126,0.09437983713587411,2
741,Universidad Del Este,2,0,5434.0,44,0.122341726,0.001833293,2
743,Eastern West Virginia Community and Technical College,1,0,2688.0,57,0.146929825,0.09437983713587411,2
744,City Colleges of Chicago-Malcolm X College,1,0,3070.0,17,0.100380952,0.003238095,2
746,Central Christian College of the Bible,2,0,13800.0,28,0.206730769,0.0711596745923386,2
752,National Paralegal College,3,0,6795.0,4,0.147150259,0.04793951204880309,2
753,Seminole State College,1,0,3425.0,41,0.180505415,0.012635379,2
759,Hennepin Technical College,1,0,4998.0,27,0.158103814,0.037605932,2
760,Northwest Technology Center-Alva,1,0,1620.0,41,0.15777064504154126,0.0,2
763,Taylor College,3,0,13138.0,10,0.21257485,0.04793951204880309,2
766,St Clair County Community College,1,0,3437.0,26,0.15777064504154126,0.09437983713587411,2
768,University of Alaska Southeast,1,0,5693.0,0,0.180511182,0.071884984,2
772,Three Rivers Community College,1,0,4212.0,7,0.190560212,0.016321129,2
785,Utah State University,1,0,6030.0,51,0.15777064504154126,0.09437983713587411,2
787,Modern Beauty School Inc,3,0,12600.0,31,0.205882353,0.04793951204880309,2
790,Illinois Central College,1,0,3450.0,17,0.14882698,0.026148583,2
799,The University of Montana,1,0,6045.0,31,0.141971349,0.104981826,2
801,Union County Vocational Technical School,1,0,5500.0,36,0.151515152,0.09437983713587411,2
805,Clover Park Technical College,1,0,4451.0,55,0.15777064504154126,0.09437983713587411,2
807,Columbus State University,1,0,5514.0,12,0.176453901,0.072907801,2
811,Indiana University-East,1,0,6639.0,18,0.180533752,0.037676609,2
817,CUNY Queens College,1,0,6207.0,39,0.15777064504154126,0.09437983713587411,2
818,Modesto Junior College,1,0,1150.0,5,0.15777064504154126,0.09437983713587411,2
822,Riverside County Office of Education,1,0,1900.0,5,0.15777064504154126,0.0,2
824,Lewis and Clark Community College,1,0,3304.0,17,0.15777064504154126,0.09437983713587411,2
831,Nassau Community College,1,0,4593.0,39,0.15777064504154126,0.09437983713587411,2
833,Phillips Beth Israel School of Nursing,2,0,21360.0,39,0.266666667,0.066666667,2
834,Middle Tennessee State University,1,0,7546.0,49,0.15777064504154126,0.09437983713587411,2
836,Lurleen B Wallace Community College,1,0,4170.0,1,0.181271478,0.0,2
839,Brazosport College,1,0,2295.0,50,0.181920904,0.09437983713587411,2
844,Westmoreland County Community College,1,0,3420.0,43,0.15777064504154126,0.09437983713587411,2
858,Northeast Texas Community College,1,0,1775.0,50,0.156216216,0.01027027,2
862,Illinois Valley Community College,1,0,3242.0,17,0.169033131,0.011494253,2
865,Fayetteville Technical Community College,1,0,2378.0,32,0.15777064504154126,0.09437983713587411,2
874,Metropolitan State University,1,0,6642.0,27,0.15777064504154126,0.09437983713587411,2
875,River Valley Community College,1,0,7175.0,35,0.170500677,0.041948579,2
880,University of Colorado Colorado Springs,1,0,7024.0,6,0.160377359,0.142659917,2
885,Delaware Technical Community College-Owens,1,0,3380.0,9,0.15777064504154126,0.09437983713587411,2
893,Riverland Community College,1,0,5522.0,27,0.162329616,0.033457249,2
894,University of Arkansas Community College-Morrilton,1,0,2309.0,2,0.168427595,0.017402113,2
922,City Colleges of Chicago-Wilbur Wright College,1,0,3070.0,17,0.158979735,0.005590496,2
944,Prince William Sound Community College,1,0,4448.0,0,0.175756369,0.088176752,2
945,South Central  College-Faribault,1,0,5370.0,27,0.15406294,0.055425082,2
947,Mississippi Gulf Coast Community College,1,0,2712.0,30,0.15777064504154126,0.09437983713587411,2
950,Clinton Community College,1,0,4566.0,39,0.182165605,0.044585987,2
958,University of North Carolina at Pembroke,1,0,5144.0,32,0.173548171,0.060087278,2
961,North Central State College,1,0,3511.0,40,0.147451456,0.021237864,2
962,West Georgia Technical College,1,0,2628.0,12,0.15777064504154126,0.09437983713587411,2
964,The Salon Professional Academy-Iowa City,3,0,19561.0,15,0.220338983,0.04793951204880309,2
965,Vermilion Community College,1,0,5323.0,27,0.157786885,0.104508197,2
968,Florida Agricultural and Mechanical University,1,0,5785.0,10,0.15777064504154126,0.09437983713587411,2
973,University of Central Florida,1,0,6317.0,10,0.15777064504154126,0.09437983713587411,2
974,University of California-Merced,1,0,13160.0,5,0.200927909,0.070663812,2
975,Salina Area Technical College,1,0,4517.0,19,0.14,0.09437983713587411,2
977,Copiah-Lincoln Community College-Natchez Campus,1,0,2350.0,30,0.124824684,0.010752688,2
978,Tulsa Community College,1,0,2606.0,41,0.15777064504154126,0.09437983713587411,2
979,University of Maryland-University College,1,0,6552.0,23,0.15777064504154126,0.09437983713587411,2
980,Louisiana Tech University,1,0,7302.0,21,0.15777064504154126,0.09437983713587411,2
983,Ulster County Community College,1,0,4942.0,39,0.155507559,0.036717063,2
986,Community College of Allegheny County,1,0,3540.0,43,0.15777064504154126,0.09437983713587411,2
992,Glendale Community College,1,0,1175.0,5,0.15777064504154126,0.09437983713587411,2
993,ATEP at IVC,1,0,1453.0,5,0.15777064504154126,0.09437983713587411,2
998,Georgia Military College-Warner Robins Campus,1,0,5148.0,12,0.15777064504154126,0.09437983713587411,2
1001,Saddleback College,1,0,762.0,5,0.15777064504154126,0.09437983713587411,2
1008,Ventura College,1,0,1388.0,5,0.15777064504154126,0.09437983713587411,2
1021,Lake Michigan College,1,0,3930.0,26,0.124303472,0.014144878,2
1025,Bay Mills Community College,1,0,3040.0,26,0.171511628,0.0,2
1029,University of Arkansas at Pine Bluff,1,0,5938.0,2,0.15777064504154126,0.09437983713587411,2
1031,Labette Community College,1,0,2580.0,19,0.20773639,0.09437983713587411,2
1032,College of Micronesia-FSM,1,0,5080.0,11,0.15777064504154126,0.09437983713587411,2
1034,South Central Louisiana Technical College-Young Memorial Campus,1,0,2100.0,21,0.092848181,0.0,2
1038,University of New Mexico-Gallup Campus,1,0,1704.0,37,0.15777064504154126,0.09437983713587411,2
1042,Meridian Community College,1,0,2410.0,30,0.134290541,0.009290541,2
1047,East Carolina University,1,0,6143.0,32,0.15777064504154126,0.09437983713587411,2
1058,Georgia Perimeter College,1,0,3100.0,12,0.15777064504154126,0.09437983713587411,2
1060,Southern Westchester BOCES-Practical Nursing Program,1,0,11250.0,39,0.254237288,0.09437983713587411,2
1061,Arizona Western College,1,0,2420.0,4,0.15777064504154126,0.09437983713587411,2
1065,Union County College,1,0,4998.0,36,0.15777064504154126,0.09437983713587411,2
1073,Rappahannock Community College,1,0,3245.0,52,0.15777064504154126,0.09437983713587411,2
1074,Community College of Aurora,1,0,2879.0,6,0.182779456,0.02848511,2
1083,Lone Star College System,1,0,1408.0,50,0.15777064504154126,0.09437983713587411,2
1085,Pine Technical College,1,0,4065.0,27,0.145185185,0.02962963,2
1088,Indiana University-Purdue University-Indianapolis,1,0,8756.0,18,0.155629445,0.110372218,2
1091,Calvary Bible College and Theological Seminary,2,0,10816.0,28,0.167938931,0.0711596745923386,2
1095,Morrison University,3,0,6549.0,38,0.129359543,0.014584654,2
1096,University of South Dakota,1,0,8022.0,48,0.146285054,0.135010119,2
1103,University of South Carolina-Sumter,1,0,6482.0,47,0.16254417,0.065371025,2
1111,Merced College,1,0,1138.0,5,0.15777064504154126,0.09437983713587411,2
1121,York County Community College,1,0,3420.0,24,0.15777064504154126,0.09437983713587411,2
1129,Columbus Technical Campus,1,0,3370.0,19,0.206790124,0.031893004,2
1130,Carl Albert State College,1,0,2808.0,41,0.15777064504154126,0.09437983713587411,2
1132,Central Carolina Community College,1,0,2216.0,32,0.15777064504154126,0.09437983713587411,2
1134,College of Southern Idaho,1,0,2640.0,16,0.15777064504154126,0.09437983713587411,2
1137,Minnesota State College-Southeast Technical,1,0,6064.0,27,0.15777064504154126,0.09437983713587411,2
1141,University of Arkansas at Little Rock,1,0,7094.0,2,0.150595094,0.048093272,2
1144,Rock Valley College,1,0,2924.0,17,0.15777064504154126,0.09437983713587411,2
1145,University of Arkansas-Fort Smith,1,0,4528.0,2,0.182499251,0.031465388,2
1149,Purdue University-North Central Campus,1,0,7186.0,18,0.137383689,0.102900931,2
1153,Snead State Community College,1,0,4260.0,1,0.172979084,0.009044658,2
1155,Pennsylvania Highlands Community College,1,0,4460.0,43,0.156617071,0.031323414,2
1156,Palo Alto College,1,0,2038.0,50,0.15777064504154126,0.09437983713587411,2
1159,Durham Technical Community College,1,0,1840.0,32,0.140547945,0.005479452,2
1161,Northwest Technical Institute,1,0,2321.0,2,0.172413793,0.0,2
1163,White Mountains Community College,1,0,7664.0,35,0.170498084,0.038314176,2
1166,York Technical College,1,0,4145.0,47,0.15777064504154126,0.09437983713587411,2
1169,Weatherford College,1,0,2280.0,50,0.180770759,0.026618991,2
1170,Manchester Community College,1,0,7168.0,35,0.145299145,0.086609687,2
1175,Antilles School of Technical Careers,3,0,9585.0,44,0.0592686,0.0,2
1182,Holyoke Community College,1,0,3574.0,22,0.135969785,0.0335481,2
1188,Tennessee College of Applied Technology-Pulaski,1,0,3177.0,49,0.157142857,0.0,2
1191,Mohawk Valley Community College,1,0,4288.0,39,0.15777064504154126,0.09437983713587411,2
1192,Mesalands Community College,1,0,1560.0,37,0.15777064504154126,0.0,2
1202,Columbia Gorge Community College,1,0,3636.0,42,0.191653787,0.09437983713587411,2
1205,Cankdeska Cikana Community College,1,0,3300.0,33,0.15777064504154126,0.0,2
1209,Montana Tech of the University of Montana,1,0,6464.0,31,0.13986014,0.091783217,2
1214,Manhattan School of Computer Technology,2,0,3714.0,39,0.14186649974413781,0.0,2
1222,University of Nevada-Las Vegas,1,0,6690.0,38,0.15777064504154126,0.09437983713587411,2
1225,Texas Southern University,1,0,7946.0,50,0.157706946,0.028782112,2
1227,Palo Verde College,1,0,1288.0,5,0.112947658,0.0,2
1228,Raritan Valley Community College,1,0,3742.0,36,0.192092652,0.079872205,2
1232,Academia Serrant Inc,3,0,5448.0,44,0.1259623544467344,0.0,2
1233,Victor Valley College,1,0,1114.0,5,0.15777064504154126,0.09437983713587411,2
1244,East Central Community College,1,0,2170.0,30,0.163391353,0.017405952,2
1251,Colorado Academy of Veterinary Technology,3,0,15223.0,6,0.223300971,0.04793951204880309,2
1255,Zane State College,1,0,4556.0,40,0.15777064504154126,0.09437983713587411,2
1261,South Central Career Center,1,0,10280.0,28,0.195652174,0.09437983713587411,2
1262,Minnesota State University-Moorhead,1,0,7816.0,27,0.149912434,0.137302977,2
1268,University of Maryland Eastern Shore,1,0,6998.0,23,0.158730159,0.103448276,2
1271,Charlotte Technical Center,1,0,2884.0,10,0.15777064504154126,0.0,2
1274,Rogers State University,1,0,5349.0,41,0.180922526,0.046126288,2
1275,Meridian Technology Center,1,0,1996.0,41,0.173267327,0.0,2
1276,Santa Fe Community College,1,0,1329.0,37,0.140196586,0.006207967,2
1279,Southern Arkansas University Tech,1,0,4080.0,2,0.165075034,0.09437983713587411,2
1284,Faith Theological Seminary,2,0,5800.0,23,0.14186649974413781,0.0,2
1285,College of the Albemarle,1,0,2037.0,32,0.141886793,0.09437983713587411,2
1286,Kaskaskia College,1,0,3552.0,17,0.15777064504154126,0.09437983713587411,2
1304,Three Rivers Community College,1,0,3348.0,28,0.15777064504154126,0.09437983713587411,2
1307,Manhattan Institute,3,0,760.0,39,0.1259623544467344,0.0,2
1310,Columbus Technical College,1,0,1529.0,12,0.15777064504154126,0.09437983713587411,2
1316,California State University-Channel Islands,1,0,6471.0,5,0.174135723,0.081946223,2
1317,Edgecombe Community College,1,0,2280.0,32,0.15777064504154126,0.09437983713587411,2
1320,Northwestern Michigan College,1,0,2724.0,26,0.172695952,0.036606374,2
1324,Northeastern Technical College,1,0,3630.0,47,0.15777064504154126,0.09437983713587411,2
